iso3,country,year,growth_annual,wdi_gdp_growth_annual_pct,maddison_growth_annual,wdi_growth_decimal,abs_diff_maddison,abs_diff_wdi
MWI,Malawi,1967,-0.04526774390863775,7.28154994348667,0.06555052729597843,0.0728154994348667,0.11081827120461618,0.11808324334350445
SWZ,Eswatini,1975,0.2568366915755078,13.9084441066064,0.25914815318667017,0.139084441066064,0.0023114616111623576,0.11775225050944382
SLE,Sierra Leone,1967,-0.11718832225491926,0.0362815543045798,-0.021846443228831447,0.000362815543045798,0.09534187902608782,0.11755113779796506
GMB,Gambia,1976,-0.04400214294831972,7.35122573247521,-0.0416016348114594,0.0735122573247521,0.0024005081368603243,0.11751440027307182
IRQ,Iraq,1974,0.04361960822281219,16.1133673454638,0.019041886717923617,0.161133673454638,0.024577721504888572,0.11751406523182581
LBR,Liberia,1991,-0.02545381647662559,-14.2252140499536,-0.07466977755738569,-0.142252140499536,0.049215961080760096,0.1167983240229104
RWA,Rwanda,1995,0.4689829174111475,35.224078310176,0.39436917049092735,0.35224078310176,0.07461374692022016,0.11674213430938751
BFA,Burkina Faso,1976,-0.03137668273723726,8.53489496068103,-0.027529028420913093,0.08534894960681029,0.003847654316324167,0.11672563234404755
ARE,United Arab Emirates,2007,-0.08455236316136627,3.18441281459761,-0.036300255532310644,0.0318441281459761,0.04825210762905563,0.11639649130734236
ZWE,Zimbabwe,2008,-0.06061603932959159,-17.6689987958491,-0.17191573396766024,-0.176689987958491,0.11129969463806866,0.11607394862889941
TCD,Chad,1993,-0.04124153089689653,-15.7098370447417,-0.026007913774480862,-0.157098370447417,0.015233617122415666,0.11585683955052048
TCD,Chad,1988,0.03975469034556589,15.4823590700135,0.042810965431806736,0.154823590700135,0.003056275086240845,0.1150689003545691
QAT,Qatar,1972,-0.004156326225219331,11.0793894825657,0.0439705041545384,0.110793894825657,0.048126830379757735,0.11495022105087634
GNQ,Equatorial Guinea,1994,0.05240750267946126,16.6688355418416,0.0674425888550223,0.16668835541841598,0.015035086175561041,0.11428085273895472
ZWE,Zimbabwe,1967,-0.03056281636497804,8.36700892929179,0.04875926229832128,0.0836700892929179,0.07932207866329932,0.11423290565789594
SWZ,Eswatini,1976,0.09302285890112039,-2.11943776564657,0.0954374953560917,-0.0211943776564657,0.0024146364549713084,0.11421723655758609
GNQ,Equatorial Guinea,1998,0.12374970583008249,23.7744823299607,0.13973460241958513,0.23774482329960703,0.01598489658950264,0.11399511746952454
COG,Congo,1975,-0.03653975595686809,7.73159683364941,-0.03683591858823565,0.0773159683364941,0.00029616263136755805,0.11385572429336219
HND,Honduras,1998,0.002113710884797726,11.5761659693973,0.008932688947416167,0.115761659693973,0.0068189780626184415,0.11364794880917528
RWA,Rwanda,1996,0.013902533136111117,12.7456957642204,-0.07193953411909249,0.127456957642204,0.0858420672552036,0.11355442450609288
BGD,Bangladesh,1961,-0.0527451083360404,6.05816082547616,0.0339399092062278,0.0605816082547616,0.0866850175422682,0.11332671659080201
KEN,Kenya,1968,-0.03314003008050648,7.9826899693479,0.0365303383874549,0.079826899693479,0.06967036846796137,0.11296692977398548
CAF,Central African Republic,1974,-0.04956200970660252,6.33903361228316,-0.05118075992375193,0.0633903361228316,0.0016187502171494117,0.11295234582943411
SWZ,Eswatini,1981,0.033504085118696736,14.6414410739109,0.03436534996567886,0.14641441073910902,0.0008612648469821238,0.11291032562041228
SSD,South Sudan,2010,-0.05773327879566459,5.49341639529945,,0.0549341639529945,,0.11266744274865909
QAT,Qatar,2009,0.00722551888676648,11.9575512911227,0.0708142624100585,0.119575512911227,0.06358874352329202,0.11234999402446053
VCT,St. Vincent and the Grenadines,1977,0.02007286835576494,13.2294111793488,,0.132294111793488,,0.11222124343772305
NER,Niger,1986,-0.04866484079737887,6.35213730291468,0.019802627296179764,0.0635213730291468,0.06846746809355864,0.11218621382652567
ARE,United Arab Emirates,1980,0.12676232666105314,23.8745793877479,0.11083948382200504,0.23874579387747902,0.0159228428390481,0.11198346721642588
GNQ,Equatorial Guinea,2000,0.07037234921644853,18.2137799569674,0.09963257481774335,0.182137799569674,0.02926022560129482,0.11176545035322547
LAO,Lao People's DR,2006,-0.02492587618025688,8.61926620832807,-0.017987011020223598,0.08619266208328069,0.006938865160033281,0.11111853826353757
ARM,Armenia,1992,-0.5288134676100622,-41.8000027457562,-0.5495157274102915,-0.41800002745756204,0.020702259800229328,0.11081344015250016
MLI,Mali,2004,-0.09588108176874766,1.47732490290102,-0.01760613604603023,0.014773249029010201,0.07827494572271743,0.11065433079775785
